1,000	1,001	Inf	Inf
2,000	2,002	Inf	Inf
3,000	3,002	Inf	Inf
4,000	4,003	Inf	Inf
5,000	5,003	Inf	Inf
6,000	6,003	Inf	Inf
1,000	1,001	27,193	30,600
2,000	2,002	71,775	52,427
3,000	3,002	58,228	51,149
4,000	4,003	59,137	50,967
5,000	5,003	58,955	52,967
6,000	6,003	59,773	54,513
7,000	7,004	60,864	52,967
8,000	8,005	60,228	53,331
9,000	9,005	61,046	52,786
10,000	10,006	59,955	52,604
11,000	11,006	58,591	51,695
12,000	12,007	60,500	52,513
13,000	13,007	61,955	51,967
14,000	14,008	61,591	51,513
15,000	15,109	60,773	50,695
16,000	16,109	61,773	50,967
17,000	17,109	59,409	49,786
18,000	18,110	59,864	50,422
19,000	19,110	59,046	51,331
20,000	20,111	59,591	51,331
21,000	21,111	59,591	51,331
22,000	22,112	60,046	50,331
23,000	23,113	58,682	51,967
24,000	24,113	58,864	51,422
25,000	25,113	58,228	52,331
26,000	26,114	57,864	51,240
27,000	27,114	58,137	50,331
28,000	28,115	57,773	50,967
29,000	29,115	57,319	50,877
30,000	30,116	56,773	50,422
31,000	31,117	57,046	51,513
32,000	32,117	57,500	51,422
33,000	33,118	57,591	50,422
34,000	34,118	57,591	49,513
35,000	35,118	57,591	49,240
36,000	36,119	57,591	49,604
37,000	37,119	58,409	48,058
38,000	38,120	59,591	48,513
39,000	39,121	58,955	47,513
40,000	40,121	58,319	48,967
41,000	41,122	59,228	49,786
42,000	42,122	58,773	48,331
43,000	43,122	57,591	49,513
44,000	44,123	57,864	50,513
45,000	45,124	56,591	52,240
46,000	46,124	55,137	52,786
47,000	47,125	56,773	53,149
48,000	48,125	57,409	54,513
49,000	49,126	56,864	55,604
50,000	50,126	57,773	55,240
51,000	51,126	58,682	55,877
52,000	52,127	59,409	55,331
53,000	53,127	59,591	57,058
54,000	54,129	58,864	57,877
55,000	55,129	58,500	57,422
56,000	56,129	57,591	57,149
57,000	57,130	56,864	57,604
58,000	58,130	55,500	55,695
59,000	59,130	56,228	57,695
60,000	60,132	56,228	57,695
61,000	61,132	56,409	55,877
62,000	62,133	58,228	56,604
63,000	63,133	59,137	56,786
64,000	64,133	58,955	56,240
65,000	65,134	58,955	56,422
66,000	66,134	60,591	57,695
67,000	67,134	60,228	57,240
68,000	68,136	59,319	55,967
69,000	69,136	61,046	55,422
70,000	70,137	59,319	54,149
71,000	71,137	57,500	53,877
72,000	72,137	56,955	54,422
73,000	73,138	56,682	53,058
74,000	74,138	57,682	52,967
75,000	75,139	57,500	53,513
76,000	76,140	57,955	55,058
77,000	77,140	58,682	53,695
78,000	78,141	60,319	53,331
79,000	79,141	61,864	53,786
80,000	80,141	61,228	54,240
81,000	81,142	60,228	54,513
82,000	82,142	58,046	53,786
83,000	83,144	58,682	53,695
84,000	84,144	57,864	52,240
85,000	85,144	56,864	51,877
86,000	86,145	57,500	51,604
87,000	87,145	55,500	52,695
88,000	88,145	54,228	53,422
89,000	89,146	53,773	54,513
90,000	90,147	53,591	54,695
91,000	91,148	55,046	53,422
92,000	92,148	57,228	55,149
93,000	93,148	58,409	55,695
94,000	94,149	57,319	55,967
95,000	95,149	57,682	55,513
96,000	96,150	56,137	55,240
97,000	97,150	57,409	55,513
98,000	98,150	55,409	56,513
99,000	99,152	56,409	56,240
100,000	100,152	56,409	55,513
101,000	101,152	57,955	54,877
102,000	102,153	57,591	53,877
103,000	103,153	56,319	55,695
104,000	104,154	55,409	54,786
105,000	105,155	55,500	55,786
106,000	106,155	56,137	55,786
107,000	107,156	56,773	55,786
108,000	108,156	55,864	54,422
109,000	109,157	56,500	54,240
110,000	110,157	55,682	54,786
111,000	111,157	54,682	52,331
112,000	112,158	55,046	53,877
113,000	113,158	55,319	54,877
114,000	114,159	54,500	55,786
115,000	115,160	54,228	57,058
116,000	116,160	52,773	57,513
117,000	117,161	52,773	57,877
118,000	118,161	52,137	57,513
119,000	119,161	52,046	57,240
120,000	120,163	51,319	55,422
121,000	121,163	50,682	56,967
122,000	122,163	50,864	57,422
123,000	123,164	50,228	59,331
124,000	124,164	50,864	59,240
125,000	125,165	49,319	59,695
126,000	126,165	48,955	60,604
127,000	127,165	51,137	61,240
128,000	128,166	52,228	63,604
129,000	129,167	51,046	63,877
130,000	130,168	50,591	63,877
131,000	131,168	51,864	64,513
132,000	132,168	50,955	66,422
133,000	133,169	50,591	65,877
134,000	134,169	52,137	65,695
135,000	135,169	52,500	66,149
136,000	136,171	53,682	66,149
137,000	137,171	53,319	64,967
138,000	138,172	52,955	66,240
139,000	139,172	52,500	67,058
140,000	140,172	52,319	66,877
141,000	141,173	51,500	66,604
142,000	142,173	51,228	66,604
143,000	143,174	51,500	67,240
144,000	144,175	50,137	67,604
145,000	145,175	50,864	66,331
146,000	146,176	51,682	67,513
147,000	147,176	52,046	67,240
148,000	148,176	50,682	67,422
149,000	149,177	49,955	67,695
150,000	150,178	48,955	67,877
151,000	151,179	47,864	67,240
152,000	152,179	47,046	66,240
153,000	153,179	45,773	64,877
154,000	154,180	44,591	64,877
155,000	155,180	45,319	63,877
156,000	156,180	43,319	62,149
157,000	157,181	43,773	61,604
158,000	158,182	43,228	63,240
159,000	159,183	44,137	62,240
160,000	160,183	42,046	62,513
161,000	161,183	41,409	62,513
162,000	162,184	40,591	60,967
163,000	163,184	40,682	62,240
164,000	164,185	40,228	61,967
165,000	165,186	38,046	61,604
166,000	166,186	36,682	61,877
167,000	167,187	36,137	59,786
168,000	168,187	34,864	58,877
169,000	169,187	34,228	58,240
