SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Wed Oct 31 16:12:02 CET 2018
Benutzer: Admin
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 5000 (USB4F05832)
Spektren Durchschnitt berechnet: 800 (USB4F05832)
Boxcar Glttung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	8,71
177,75	8,71
177,97	8,71
178,19	1,54
178,41	0,12
178,63	22,70
178,85	11,79
179,07	-5,15
179,29	-4,39
179,51	-7,95
179,73	-4,38
179,95	17,31
180,17	-4,37
180,39	-0,19
180,61	14,88
180,83	15,52
181,05	-16,75
181,27	15,27
181,49	10,07
181,71	6,15
181,92	-8,18
182,14	14,09
182,36	18,66
182,58	23,51
182,80	17,26
183,02	16,47
183,24	33,19
183,46	6,09
183,68	-10,85
183,90	-2,28
184,12	16,41
184,34	2,16
184,56	1,68
184,78	-3,65
185,00	-3,85
185,21	16,34
185,43	25,87
185,65	-1,88
185,87	-12,79
186,09	2,13
186,31	5,61
186,53	12,21
186,75	5,15
186,97	4,09
187,19	0,22
187,41	6,00
187,63	23,68
187,84	7,73
188,06	-7,06
188,28	11,81
188,50	24,15
188,72	15,99
188,94	8,46
189,16	14,19
189,38	-6,95
189,60	9,55
189,82	23,59
190,03	5,93
190,25	-1,85
190,47	8,18
190,69	21,32
190,91	0,61
191,13	25,21
191,35	1,52
191,57	-2,90
191,79	-6,75
192,01	-7,61
192,22	10,19
192,44	5,46
192,66	29,49
192,88	21,11
193,10	-12,26
193,32	-0,45
193,54	4,57
193,76	21,73
193,98	12,54
194,19	17,07
194,41	2,60
194,63	-0,42
194,85	12,96
195,07	16,44
195,29	25,78
195,51	18,10
195,73	-4,64
195,94	42,74
196,16	12,60
196,38	29,20
196,60	19,36
196,82	15,68
197,04	6,84
197,26	2,00
197,48	24,15
197,69	14,19
197,91	24,56
198,13	-4,11
198,35	4,30
198,57	11,75
198,79	8,52
199,01	2,75
199,22	16,05
199,44	-7,39
199,66	17,67
199,88	16,55
200,10	23,07
200,32	26,52
200,54	1,50
200,75	-6,48
200,97	5,31
201,19	3,94
201,41	-0,50
201,63	15,09
201,85	4,65
202,06	9,26
202,28	-0,66
202,50	28,52
202,72	19,55
202,94	10,22
203,16	12,73
203,38	5,45
203,59	17,71
203,81	-2,10
204,03	22,38
204,25	8,10
204,47	20,57
204,69	11,24
204,90	-7,80
205,12	-3,66
205,34	12,08
205,56	-11,55
205,78	27,78
206,00	18,47
206,21	2,16
206,43	7,03
206,65	29,58
206,87	1,20
207,09	33,71
207,30	10,08
207,52	14,42
207,74	6,34
207,96	26,88
208,18	1,56
208,40	18,31
208,61	23,24
208,83	9,41
209,05	27,06
209,27	-0,62
209,49	18,34
209,70	14,29
209,92	21,70
210,14	8,12
210,36	6,25
210,58	7,48
210,79	6,07
211,01	11,04
211,23	19,61
211,45	8,21
211,67	18,14
211,88	15,98
212,10	-2,29
212,32	7,86
212,54	-0,22
212,76	25,01
212,97	13,57
213,19	-2,36
213,41	14,38
213,63	37,19
213,85	26,74
214,06	12,42
214,28	5,13
214,50	-10,98
214,72	22,33
214,94	8,94
215,15	24,01
215,37	3,72
215,59	20,27
215,81	15,83
216,02	11,43
216,24	17,84
216,46	9,35
216,68	3,32
216,90	2,83
217,11	10,65
217,33	5,39
217,55	-8,16
217,77	7,88
217,98	6,17
218,20	-3,14
218,42	12,14
218,64	15,22
218,85	1,20
219,07	19,02
219,29	29,48
219,51	-15,65
219,73	27,70
219,94	1,79
220,16	17,38
220,38	12,41
220,60	8,27
220,81	0,49
221,03	8,19
221,25	3,90
221,47	5,07
221,68	8,35
221,90	18,82
222,12	10,24
222,34	29,70
222,55	13,97
222,77	18,16
222,99	11,89
223,21	19,97
223,42	27,05
223,64	22,38
223,86	-0,57
224,08	10,85
224,29	18,74
224,51	13,17
224,73	25,49
224,94	0,68
225,16	12,69
225,38	20,86
225,60	19,33
225,81	19,02
226,03	28,22
226,25	20,97
226,47	20,14
226,68	11,51
226,90	14,17
227,12	23,79
227,33	1,84
227,55	17,51
227,77	16,53
227,99	22,15
228,20	-0,26
228,42	21,47
228,64	34,68
228,86	15,94
229,07	13,09
229,29	12,34
229,51	15,05
229,72	19,84
229,94	3,69
230,16	17,57
230,38	18,32
230,59	16,79
230,81	-1,37
231,03	5,16
231,24	23,11
231,46	11,95
231,68	7,78
231,89	1,97
232,11	15,62
232,33	16,98
232,55	14,68
232,76	6,14
232,98	20,98
233,20	12,34
233,41	2,44
233,63	17,15
233,85	-5,91
234,06	-4,60
234,28	-6,63
234,50	40,69
234,71	8,64
234,93	19,41
235,15	16,35
235,37	15,76
235,58	13,11
235,80	13,22
236,02	28,47
236,23	-5,86
236,45	17,76
236,67	7,13
236,88	14,65
237,10	38,74
237,32	21,57
237,53	-0,45
237,75	7,09
237,97	7,55
238,18	-5,07
238,40	19,35
238,62	2,04
238,83	8,16
239,05	32,17
239,27	15,41
239,48	12,95
239,70	24,62
239,92	15,50
240,13	14,93
240,35	-1,51
240,57	22,75
240,78	-0,15
241,00	13,76
241,22	1,42
241,43	7,24
241,65	23,23
241,87	19,19
242,08	17,56
242,30	20,98
